code,binned,age,sex,population_2015,population_2016,population_2017,population_2018
E06000014,"(35, 45]",810,30,24681,24316,23984,23582
E06000014,"(45, 55]",1010,30,26635,26810,26794,26618
E06000014,"(55, 65]",1210,30,21506,21645,21953,22511
E06000014,"(65, 90]",3900,75,34880,35411,35934,36280
E06000015,"(15, 18]",102,9,9199,9060,9110,8997
E06000015,"(18, 25]",308,21,26816,26899,26441,26004
E06000015,"(25, 35]",610,30,36122,36687,36607,36643
E06000015,"(35, 45]",810,30,32036,31929,31823,31509
E06000015,"(45, 55]",1010,30,33793,34078,34260,34083
E06000015,"(55, 65]",1210,30,24683,25096,25630,26321
E06000015,"(65, 90]",3900,75,38468,39090,39455,39624
E06000016,"(15, 18]",102,9,12969,12876,12889,12648
E06000016,"(18, 25]",308,21,51341,52676,53662,54802
E06000016,"(25, 35]",610,30,55005,55952,56937,56916
E06000016,"(35, 45]",810,30,42549,43298,43551,43051
E06000016,"(45, 55]",1010,30,39274,39165,39086,38945
E06000016,"(55, 65]",1210,30,31712,32382,32968,33409
E06000016,"(65, 90]",3900,75,37391,38044,38681,39413
E06000017,"(15, 18]",102,9,1764,1791,1708,1652
E06000017,"(18, 25]",308,21,2729,2685,2624,2522
E06000017,"(25, 35]",610,30,3840,3937,3949,4008
E06000017,"(35, 45]",810,30,4455,4489,4529,4454
E06000017,"(45, 55]",1010,30,5526,5602,5766,5770
E06000017,"(55, 65]",1210,30,4931,5019,5152,5218
E06000017,"(65, 90]",3900,75,8586,8921,9159,9384
E06000018,"(15, 18]",102,9,11433,11193,11151,11146
E06000018,"(18, 25]",308,21,66544,68273,68749,68333
E06000018,"(25, 35]",610,30,48066,49425,51463,52460
E06000018,"(35, 45]",810,30,36951,37344,37128,36802
E06000018,"(45, 55]",1010,30,35570,35851,36171,36177
E06000018,"(55, 65]",1210,30,26376,26909,27510,28255
E06000018,"(65, 90]",3900,75,34810,35201,35565,35756
E06000019,"(15, 18]",102,9,6394,6375,6053,5888
E06000019,"(18, 25]",308,21,13119,12750,12688,12499
E06000019,"(25, 35]",610,30,21363,21520,21771,21991
E06000019,"(35, 45]",810,30,21359,21336,21178,20897
E06000019,"(45, 55]",1010,30,27728,27882,27949,27753
E06000019,"(55, 65]",1210,30,25422,25632,26206,26883
E06000019,"(65, 90]",3900,75,41424,42339,43272,43983
E06000020,"(15, 18]",102,9,6542,6460,6291,6283
E06000020,"(18, 25]",308,21,15502,15855,15590,15396
E06000020,"(25, 35]",610,30,22090,22155,22579,22938
E06000020,"(35, 45]",810,30,22469,22403,22192,22199
E06000020,"(45, 55]",1010,30,24644,25097,25553,25732
E06000020,"(55, 65]",1210,30,19297,19497,19930,20284
E06000020,"(65, 90]",3900,75,26141,26994,27719,28431
E06000021,"(15, 18]",102,9,8741,8563,8434,8198
E06000021,"(18, 25]",308,21,25338,25212,25175,24817
E06000021,"(25, 35]",610,30,35363,35980,36595,36788
E06000021,"(35, 45]",810,30,30960,30634,30336,30185
E06000021,"(45, 55]",1010,30,33520,33873,33940,33619
E06000021,"(55, 65]",1210,30,27724,27905,28436,29070
E06000021,"(65, 90]",3900,75,39638,40348,40672,40861
E06000022,"(15, 18]",102,9,6634,6603,6603,6505
E06000022,"(18, 25]",308,21,27302,28829,29009,29758
E06000022,"(25, 35]",610,30,20594,20898,22052,23461
E06000022,"(35, 45]",810,30,21186,20953,20476,20270
E06000022,"(45, 55]",1010,30,24706,24680,24727,24789
E06000022,"(55, 65]",1210,30,20171,20385,20579,20952
E06000022,"(65, 90]",3900,75,33034,33429,33743,34348
E06000023,"(15, 18]",102,9,14163,14021,13737,13366
E06000023,"(18, 25]",308,21,66481,67492,67932,69704
E06000023,"(25, 35]",610,30,82787,84944,87062,89094
E06000023,"(35, 45]",810,30,57433,58162,58276,58540
E06000023,"(45, 55]",1010,30,51006,50999,50892,50566
E06000023,"(55, 65]",1210,30,39287,39349,39542,40003
E06000023,"(65, 90]",3900,75,55690,56171,56445,56455
E06000024,"(15, 18]",102,9,7070,7018,6987,6854
E06000024,"(18, 25]",308,21,13551,13683,13260,13187
E06000024,"(25, 35]",610,30,22052,22099,22118,22322
E06000024,"(35, 45]",810,30,26471,26268,26164,26069
E06000024,"(45, 55]",1010,30,30598,31061,31345,31404
E06000024,"(55, 65]",1210,30,26172,26261,26484,26918
E06000024,"(65, 90]",3900,75,46108,47102,47901,48302
E06000025,"(15, 18]",102,9,9957,9550,9279,9056
E06000025,"(18, 25]",308,21,23621,24193,24473,25168
E06000025,"(25, 35]",610,30,34700,35339,35703,36779
E06000025,"(35, 45]",810,30,35903,35814,35614,35802
E06000025,"(45, 55]",1010,30,41080,41215,41495,41087
E06000025,"(55, 65]",1210,30,30123,30461,31044,31868
E06000025,"(65, 90]",3900,75,47558,48587,49334,49921
E06000026,"(15, 18]",102,9,8867,8676,8446,8163
E06000026,"(18, 25]",308,21,34393,33786,32966,32472
E06000026,"(25, 35]",610,30,35086,35638,36033,35783
E06000026,"(35, 45]",810,30,30330,29987,29729,29899
E06000026,"(45, 55]",1010,30,34529,34382,34435,34216
E06000026,"(55, 65]",1210,30,28309,28698,29319,29643
E06000026,"(65, 90]",3900,75,43613,44459,45022,45481
E06000027,"(15, 18]",102,9,4520,4438,4191,4026
E06000027,"(18, 25]",308,21,9367,9190,9040,8842
E06000027,"(25, 35]",610,30,13489,13612,13749,13859
E06000027,"(35, 45]",810,30,14500,14094,13846,13747
E06000027,"(45, 55]",1010,30,19213,19380,19554,19324
E06000027,"(55, 65]",1210,30,17953,18219,18607,19160
E06000027,"(65, 90]",3900,75,32492,33063,33580,34000
E06000028,"(15, 18]",102,9,5860,5779,5646,5418
E06000028,"(18, 25]",308,21,23651,24595,24774,24066
E06000028,"(25, 35]",610,30,29071,27999,27165,26300
E06000028,"(35, 45]",810,30,25179,25731,26046,26274
E06000028,"(45, 55]",1010,30,24580,24810,25102,25308
E06000028,"(55, 65]",1210,30,19368,19726,19982,20501
E06000028,"(65, 90]",3900,75,32860,33198,33505,33521
E06000029,"(15, 18]",102,9,5086,5030,4982,4811
E06000029,"(18, 25]",308,21,10711,10672,10880,10480
E06000029,"(25, 35]",610,30,18223,18221,17772,17720
E06000029,"(35, 45]",810,30,18857,18633,18679,18596
E06000029,"(45, 55]",1010,30,21492,21733,21913,21672
E06000029,"(55, 65]",1210,30,17933,17888,18110,18567
E06000029,"(65, 90]",3900,75,31260,31743,32096,32517
E06000030,"(15, 18]",102,9,7769,7596,7571,7296
E06000030,"(18, 25]",308,21,16478,15985,15769,15976
E06000030,"(25, 35]",610,30,30907,30415,30405,30055
E06000030,"(35, 45]",810,30,31638,31632,31539,31416
E06000030,"(45, 55]",1010,30,32428,32622,32877,33062
E06000030,"(55, 65]",1210,30,23487,24210,24946,25793
E06000030,"(65, 90]",3900,75,30978,31712,32303,32991
E06000031,"(15, 18]",102,9,6859,6819,6774,6774
E06000031,"(18, 25]",308,21,16224,15768,15232,14841
E06000031,"(25, 35]",610,30,30761,31080,31226,30869
E06000031,"(35, 45]",810,30,26418,27074,27515,27886
E06000031,"(45, 55]",1010,30,25075,25453,25641,26150
E06000031,"(55, 65]",1210,30,19127,19436,19898,20172
E06000031,"(65, 90]",3900,75,26097,26739,27168,27748
E06000032,"(15, 18]",102,9,8161,8091,7869,7808
E06000032,"(18, 25]",308,21,21107,20489,18988,18251
E06000032,"(25, 35]",610,30,37008,37190,36492,35598
E06000032,"(35, 45]",810,30,28259,28975,29419,29824
E06000032,"(45, 55]",1010,30,25910,26170,26103,25868
E06000032,"(55, 65]",1210,30,18296,18820,19126,19620
E06000032,"(65, 90]",3900,75,24262,24639,24807,25018
E06000033,"(15, 18]",102,9,6333,6132,6014,5873
E06000033,"(18, 25]",308,21,13463,13431,13310,13060
E06000033,"(25, 35]",610,30,23229,22867,22820,22490
E06000033,"(35, 45]",810,30,24688,25015,25206,25131
E06000033,"(45, 55]",1010,30,25552,25864,25961,26208
E06000033,"(55, 65]",1210,30,19553,19872,20443,20857
E06000033,"(65, 90]",3900,75,32167,32717,32931,33214
E06000034,"(15, 18]",102,9,6129,6028,5996,5872
E06000034,"(18, 25]",308,21,13426,13459,13123,13045
