Constituency,ONSConstID,Constituency,Region,CON_GE19,LAB_GE19,LIBDEM_GE19,GRN_GE19,SNP_GE19,PC_GE19,BXP_GE19,UKIP_GE19,OTHER_GE19,Registered Voters_GE19,Turnout_GE19,Winner_GE19
Basildon South & Thurrock East,E14000933,Basildon South & Thurrock East,East,"29,973","10,051","1,957",,,,,,"3,316","74,441",0.61,Conservative
Norfolk South,E14000941,Norfolk South,East,36258,14983,8744,2499,,,,,0,"86,214",0.72,Conservative
St Helens North,E14000962,St Helens North,North West,12661,24870,2668,1966,,,5396,,0,"75,593",0.63,Labour
St Helens South & Whiston,E14000963,St Helens South & Whiston,North West,10335,29457,2886,2282,,,5353,,0,"79,058",0.64,Labour
Stockton North,E14000970,Stockton North,North East,16701,17728,1631,,,,3907,,1189,"66,676",0.62,Labour
Stockton South,E14000971,Stockton South,North East,27764,22504,2338,,,,2196,,0,"76,895",0.71,Conservative
Tamworth,E14000986,Tamworth,West Midlands,30542,10908,2426,935,,,,814,431,"71,580",0.64,Conservative
Thurrock,E14000995,Thurrock,East,27795,16313,1510,807,,,,,1042,"79,655",0.60,Conservative
Tooting,E14000998,Tooting,London,16504,30811,8305,2314,,,462,,77,"76,933",0.76,Labour
Tynemouth,E14001006,Tynemouth,North East,22071,26928,3791,1281,,,1963,,0,"77,261",0.73,Labour
Wallasey,E14001010,Wallasey,North West,11579,29901,1843,1132,,,2037,,0,"66,310",0.70,Labour
Warley,E14001016,Warley,West Midlands,10390,21901,1588,891,,,2469,,0,"62,421",0.60,Labour
Wellingborough,E14001025,Wellingborough,East Midlands,32277,13737,4078,1821,,,,,0,"80,764",0.64,Conservative
West Bromwich East,E14001029,West Bromwich East,West Midlands,16804,15211,1313,627,,,1475,,545,"62,111",0.58,Conservative
West Bromwich West,E14001030,West Bromwich West,West Midlands,17419,13620,915,664,,,1841,,0,"64,576",0.53,Conservative
Wirral South,E14001043,Wirral South,North West,16179,22284,2917,948,,,1219,,0,"57,280",0.76,Labour
Wirral West,E14001044,Wirral West,North West,17692,20695,2706,965,,,860,,0,"55,550",0.77,Labour
Wolverhampton North East,E14001049,Wolverhampton North East,West Midlands,17722,13642,960,603,,,1354,,0,"61,829",0.55,Conservative
Wycombe,E14001056,Wycombe,South East,24766,20552,6543,1454,,,,324,1117,"78,094",0.70,Conservative
Yeovil,E14001060,Yeovil,South West,34588,3761,18407,1629,,,,,875,"82,468",0.72,Conservative
Belfast West,N06000004,Belfast West,Northern Ireland,,,,,,,,,38782,"65,644",0.59,OTHER
Londonderry East,N06000006,Londonderry East,Northern Ireland,,,,,,,,,39302,"69,246",0.57,OTHER
Lagan Valley,N06000009,Lagan Valley,Northern Ireland,955,,,,,,,315,44135,"75,735",0.60,OTHER
Strangford,N06000016,Strangford,Northern Ireland,1476,,,790,,,,308,34911,"66,928",0.56,OTHER
"East Kilbride, Strathaven & Lesmahagow",S14000019,"East Kilbride, Strathaven & Lesmahagow",Scotland,11961,12791,3760,1153,26113,,,559,0,"81,224",0.69,SNP
Lanark & Hamilton East,S14000042,Lanark & Hamilton East,Scotland,17056,10736,3037,,22243,,,,0,"77,659",0.68,SNP
Midlothian,S14000045,Midlothian,Scotland,10467,14328,3393,,20033,,,,0,"70,544",0.68,SNP
Dunbartonshire West,S14000059,Dunbartonshire West,Scotland,6436,12843,1890,867,22396,,,,708,"66,517",0.68,SNP
Wrexham,W07000044,Wrexham,Wales,15199,13068,1447,445,,2151,1222,,0,"49,734",0.67,Conservative
Llanelli,W07000045,Llanelli,Wales,11455,16125,,,,7048,3605,,0,"60,513",0.63,Labour
Swansea East,W07000048,Swansea East,Wales,9435,17405,1409,583,,1905,2842,,0,"58,450",0.57,Labour
Aberavon,W07000049,Aberavon,Wales,6518,17008,1072,450,,2711,3108,,731,"50,747",0.62,Labour
Torfaen,W07000053,Torfaen,Wales,11804,15546,1831,812,,1441,5742,,0,"61,743",0.60,Labour
Newport East,W07000055,Newport East,Wales,14133,16125,2121,577,,872,2454,,0,"58,554",0.62,Labour
Newport West,W07000056,Newport West,Wales,18075,18977,2565,902,,1187,1727,,0,"66,657",0.65,Labour
Arfon,W07000057,Arfon,Wales,4428,10353,,,,13134,1159,,0,"42,215",0.69,Plaid Cymru
Dwyfor Meirionnydd,W07000061,Dwyfor Meirionnydd,Wales,9707,3998,,,,14447,1776,,0,"44,362",0.67,Plaid Cymru
Clwyd South,W07000062,Clwyd South,Wales,16222,14983,1496,,,2137,1468,,0,"53,919",0.67,Conservative
Blaenau Gwent,W07000072,Blaenau Gwent,Wales,5749,14862,1285,386,,1722,6215,,0,"50,736",0.60,Labour
Pontypridd,W07000075,Pontypridd,Wales,11494,17381,,,,4990,2917,,2288,"60,327",0.65,Labour
Caerphilly,W07000076,Caerphilly,Wales,11185,18018,,,,6424,4490,,0,"63,166",0.64,Labour
Islwyn,W07000077,Islwyn,Wales,9892,15356,1313,669,,2286,4834,,0,"55,423",0.62,Labour
Vale of Glamorgan,W07000078,Vale of Glamorgan,Wales,27305,23743,,3251,,,,,508,"76,508",0.72,Conservative
Barnsley Central,E14000541,Barnsley Central,Yorkshire and The Humber,7892,14804,1176,900,,,11233,,898,"65,277",0.57,Labour
Barnsley East,E14000542,Barnsley East,Yorkshire and The Humber,10377,14329,1330,922,,,11112,,0,"69,504",0.55,Labour
Chichester,E14000633,Chichester,South East,35402,9069,13912,2527,,,,,333,"85,499",0.72,Conservative
Chorley,E14000637,Chorley,North West,,,,"3,600",,,,,"36,270","78,177",0.51,OTHER
Dover,E14000670,Dover,South East,28830,16552,2895,1371,,,,,1053,"76,355",0.66,Conservative
Epping Forest,E14000693,Epping Forest,East,32364,10191,5387,1975,,,,,351,"74,305",0.68,Conservative
Gainsborough,E14000707,Gainsborough,East Midlands,33893,10926,5157,,,,,,1070,"76,343",0.67,Conservative
Harrogate & Knaresborough,E14000730,Harrogate & Knaresborough,Yorkshire and The Humber,29962,5480,20287,,,,,,1208,"77,914",0.73,Conservative
Havant,E14000736,Havant,South East,30051,8259,5708,1597,,,,,344,"72,130",0.64,Conservative
Ribble Valley,E14000894,Ribble Valley,North West,33346,14907,4776,1704,,,,,551,"79,247",0.70,Conservative
Stratford-on-Avon,E14000977,Stratford-on-Avon,West Midlands,33343,6222,13371,2112,,,,,0,"74,038",0.74,Conservative
Torbay,E14000999,Torbay,South West,29863,6562,12114,1239,,,,,648,"75,054",0.67,Conservative
Watford,E14001021,Watford,East,26421,21988,9323,,,,,,333,"83,359",0.70,Conservative
Angus,S14000004,Angus,Scotland,17421,2051,2482,,21216,,,,0,"63,952",0.68,SNP
Dundee East,S14000015,Dundee East,Scotland,0,0,0,,0,,,,0,"66,210",0.00,Conservative
Dundee West,S14000016,Dundee West,Scotland,5149,10096,2468,,22355,,1271,,240,"64,431",0.65,SNP
Falkirk,S14000028,Falkirk,Scotland,14403,6243,3990,1885,29351,,,,0,"84,472",0.66,SNP
Inverclyde,S14000038,Inverclyde,Scotland,6265,11783,2560,,19295,,,,0,"60,622",0.66,SNP
Paisley & Renfrewshire North,S14000052,Paisley & Renfrewshire North,Scotland,11217,11451,3661,,23353,,,,0,"72,007",0.69,SNP
Paisley & Renfrewshire South,S14000053,Paisley & Renfrewshire South,Scotland,7571,10958,2918,,21637,,,,0,"64,385",0.67,SNP
Gower,W07000046,Gower,Wales,18371,20208,2236,,,2288,1379,,0,"61,762",0.72,Labour
Neath,W07000069,Neath,Wales,10283,15920,1485,728,,4495,3184,,661,"56,416",0.65,Labour
Aldershot,E14000530,Aldershot,South East,27980,11282,6920,1750,,,,,0,"72,617",0.66,Conservative
Aldridge-Brownhills,E14000531,Aldridge-Brownhills,West Midlands,27850,8014,2371,771,,,,,336,"60,138",0.65,Conservative
Amber Valley,E14000533,Amber Valley,East Midlands,29096,12210,2873,1388,,,,,0,"69,976",0.65,Conservative
Ashford,E14000536,Ashford,South East,37270,13241,6048,2638,,,,,862,"89,550",0.67,Conservative
Barking,E14000540,Barking,London,11792,27219,1482,820,,,3186,,0,"77,946",0.57,Labour
Bath,E14000547,Bath,South West,16097,6639,28419,,,,642,,341,"67,725",0.77,Liberal Democrat
Beaconsfield,E14000550,Beaconsfield,South East,32477,5756,,2033,,,,,17602,"77,720",0.74,Conservative
Bedford,E14000552,Bedford,East,20346,20491,4608,960,,,896,,0,"71,579",0.66,Labour
Birmingham Edgbaston,E14000560,Birmingham Edgbaston,West Midlands,15603,21217,3349,1112,,,1047,,0,"68,828",0.62,Labour
Birmingham Erdington,E14000561,Birmingham Erdington,West Midlands,14119,17720,1301,648,,,1441,,0,"66,148",0.53,Labour
Birmingham Ladywood,E14000564,Birmingham Ladywood,West Midlands,4773,33355,2228,931,,,831,,0,"74,912",0.56,Labour
Birmingham Northfield,E14000565,Birmingham Northfield,West Midlands,19957,18317,1961,954,,,1655,254,0,"73,694",0.58,Conservative
Birmingham Yardley,E14000568,Birmingham Yardley,West Midlands,12720,23379,3754,579,,,2246,,0,"74,704",0.57,Labour
Bishop Auckland,E14000569,Bishop Auckland,North East,24067,16105,2133,,,,2500,,0,"68,170",0.66,Conservative
Blackpool North & Cleveleys,E14000572,Blackpool North & Cleveleys,North West,22364,13768,1494,735,,,,,443,"63,691",0.61,Conservative
Blackpool South,E14000573,Blackpool South,North West,16247,12557,1008,563,,,2009,,368,"57,688",0.57,Conservative
Bolton North East,E14000578,Bolton North East,North West,19759,19381,1847,689,,,1880,,0,"67,564",0.64,Conservative
Bolton South East,E14000579,Bolton South East,North West,13918,21516,1411,791,,,2968,,0,"69,163",0.59,Labour
Bolton West,E14000580,Bolton West,North West,27255,18400,2704,939,,,,,0,"73,191",0.67,Conservative
Brentwood & Ongar,E14000594,Brentwood & Ongar,East,36308,7243,1644,1679,,,,,103,"75,253",0.62,Conservative
Bristol East,E14000599,Bristol East,South West,16923,27717,3527,2106,,,1881,,0,"73,867",0.71,Labour
Bristol North West,E14000600,Bristol North West,South West,21638,27330,4940,1977,,,,,0,"76,273",0.73,Labour
Bristol South,E14000601,Bristol South,South West,18036,27895,4227,2713,,,2325,,0,"84,079",0.66,Labour
Bristol West,E14000602,Bristol West,South West,8822,47028,,18809,,,869,,0,"99,253",0.76,Labour
Cambridge,E14000617,Cambridge,East,8342,25776,16137,2164,,,1041,,269,"79,951",0.67,Labour
Devon Central,E14000623,Devon Central,South West,32095,14374,8770,2833,,,,,0,"74,926",0.78,Conservative
Chelsea & Fulham,E14000629,Chelsea & Fulham,London,23345,10872,12104,,,,,,500,"67,110",0.70,Conservative
Chesham & Amersham,E14000631,Chesham & Amersham,South East,30850,7166,14627,3042,,,,,0,"72,542",0.77,Conservative
Chingford & Woodford Green,E14000634,Chingford & Woodford Green,London,23481,22219,2744,,,,,,0,"65,393",0.74,Conservative
Christchurch,E14000638,Christchurch,South West,33894,6568,9277,2212,,,,,0,"71,521",0.73,Conservative
Cities of London & Westminster,E14000639,Cities of London & Westminster,London,17049,11624,13096,728,,,,,226,"63,700",0.67,Conservative
"Durham, City of",E14000641,"Durham, City of",North East,15506,20531,7935,1635,,,3252,,0,"71,271",0.69,Labour
Clacton,E14000642,Clacton,East,31438,6736,2541,1225,,,,,1566,"70,930",0.61,Conservative
Cleethorpes,E14000643,Cleethorpes,Yorkshire and The Humber,31969,10551,2535,1284,,,,,0,"73,689",0.63,Conservative
Coventry North East,E14000649,Coventry North East,West Midlands,15720,23412,2061,1141,,,2110,,0,"76,002",0.58,Labour
Coventry North West,E14000650,Coventry North West,West Midlands,20710,20918,2717,1443,,,1956,,0,"75,240",0.63,Labour
Coventry South,E14000651,Coventry South,West Midlands,19143,19544,3398,1092,,,1432,,435,"70,970",0.63,Labour
Crawley,E14000652,Crawley,South East,27040,18680,2728,1451,,,,,0,"74,207",0.67,Conservative
Dagenham & Rainham,E14000657,Dagenham & Rainham,London,19175,19468,1182,602,,,2887,,421,"71,043",0.62,Labour
Dartford,E14000659,Dartford,South East,34006,14846,3735,1435,,,,,0,"82,209",0.66,Conservative
Don Valley,E14000667,Don Valley,Yorkshire and The Humber,19609,15979,1907,872,,,6247,,823,"75,356",0.60,Conservative
Doncaster Central,E14000668,Doncaster Central,Yorkshire and The Humber,14360,16638,1748,981,,,6842,,1012,"71,389",0.58,Labour
Doncaster North,E14000669,Doncaster North,Yorkshire and The Humber,13370,15740,1476,,,,8297,,1818,"72,362",0.56,Labour
Ealing Central & Acton,E14000674,Ealing Central & Acton,London,14832,28132,9444,1735,,,664,,0,"75,510",0.73,Labour
Ealing North,E14000675,Ealing North,London,15767,28036,4370,1458,,,,,0,"74,473",0.67,Labour
Ealing Southall,E14000676,Ealing Southall,London,9594,25678,3933,1688,,,867,,457,"64,580",0.65,Labour
Easington,E14000677,Easington,North East,9142,15723,1526,,,,6744,,1448,"61,182",0.57,Labour
Eastbourne,E14000684,Eastbourne,South East,26951,3848,22620,,,,1530,,185,"79,307",0.70,Conservative
Eastleigh,E14000685,Eastleigh,South East,32690,7559,17083,1639,,,,,0,"83,880",0.70,Conservative
Edmonton,E14000687,Edmonton,London,10202,26217,2145,862,,,840,,75,"65,568",0.62,Labour
Epsom & Ewell,E14000694,Epsom & Ewell,South East,31819,10226,13946,2047,,,,,1413,"81,138",0.73,Conservative
Erewash,E14000695,Erewash,East Midlands,27560,16954,2487,1115,,,,,698,"72,519",0.67,Conservative
Esher & Walton,E14000697,Esher & Walton,South East,31132,2838,28389,,,,,,725,"81,184",0.78,Conservative
Fareham,E14000699,Fareham,South East,36459,10373,8006,2412,,,,,0,"78,337",0.73,Conservative
Forest of Dean,E14000705,Forest of Dean,South West,30680,14811,,4681,,,,,1303,"71,438",0.72,Conservative
Garston & Halewood,E14000708,Garston & Halewood,North West,6954,38578,3324,1183,,,2943,,344,"76,116",0.70,Labour
Gedling,E14000710,Gedling,East Midlands,22718,22039,2279,1097,,,1820,,0,"71,438",0.70,Conservative
Gloucester,E14000712,Gloucester,South West,29159,18882,4338,1385,,,,,0,"81,332",0.66,Conservative
Grantham & Stamford,E14000714,Grantham & Stamford,East Midlands,36794,10791,6153,2265,,,,,0,"81,502",0.69,Conservative
Great Grimsby,E14000716,Great Grimsby,Yorkshire and The Humber,18150,10819,1070,514,,,2378,,156,"61,409",0.54,Conservative
Great Yarmouth,E14000717,Great Yarmouth,East,28593,10930,1661,1064,,,,,1214,"71,957",0.60,Conservative
Guildford,E14000719,Guildford,South East,26375,4515,22980,,,,,,4839,"77,729",0.76,Conservative
Hammersmith,E14000726,Hammersmith,London,12227,30074,6947,1744,,,974,,0,"74,759",0.70,Labour
Hemel Hempstead,E14000739,Hemel Hempstead,East,28968,14405,6317,1581,,,,,0,"73,737",0.70,Conservative
Heywood & Middleton,E14000747,Heywood & Middleton,North West,20453,19790,2073,1220,,,3952,,0,"80,162",0.59,Conservative
High Peak,E14000748,High Peak,East Midlands,24844,24254,2750,1148,,,1177,,0,"74,343",0.73,Conservative
Hornchurch & Upminster,E14000751,Hornchurch & Upminster,London,35495,12187,3862,1920,,,,,510,"80,765",0.67,Conservative
Hyndburn,E14000758,Hyndburn,North West,20565,17614,1226,845,,,2156,,0,"70,910",0.60,Conservative
Isle of Wight,E14000762,Isle of Wight,South East,41815,18078,,11338,,,,,3211,"113,021",0.66,Conservative
Islington North,E14000763,Islington North,London,5483,34603,8415,4326,,,742,,236,"75,162",0.72,Labour
Islington South & Finsbury,E14000764,Islington South & Finsbury,London,8045,26897,9569,1987,,,1136,,182,"70,489",0.68,Labour
Kenilworth & Southam,E14000767,Kenilworth & Southam,West Midlands,30351,9440,9998,2351,,,,,457,"68,156",0.77,Conservative
Hull East,E14000771,Hull East,Yorkshire and The Humber,11474,12713,1707,784,,,5764,,0,"65,745",0.49,Labour
Hull West & Hessle,E14000773,Hull West & Hessle,Yorkshire and The Humber,10528,13384,1756,50,,,5638,,0,"60,409",0.52,Labour
Leeds East,E14000778,Leeds East,Yorkshire and The Humber,13933,19464,1796,878,,,2981,,0,"67,286",0.58,Labour
Leeds West,E14000781,Leeds West,Yorkshire and The Humber,11622,22186,1787,1274,,,2685,,727,"67,727",0.59,Labour
Leicester South,E14000783,Leicester South,East Midlands,10931,33606,2754,1669,,,1187,,0,"77,665",0.65,Labour
Lewisham East,E14000787,Lewisham East,London,9653,26661,5039,1706,,,1234,,522,"67,857",0.66,Labour
Lewisham West & Penge,E14000788,Lewisham West & Penge,London,10317,31860,6260,2390,,,1060,,213,"74,615",0.70,Labour
Lewisham Deptford,E14000789,Lewisham Deptford,London,6303,39216,5774,3085,,,789,,201,"80,617",0.69,Labour
Leyton & Wanstead,E14000790,Leyton & Wanstead,London,8028,28836,4666,1805,,,785,,427,"64,852",0.69,Labour
Liverpool Riverside,E14000793,Liverpool Riverside,North West,4127,41170,2696,3017,,,1779,,0,"80,310",0.66,Labour
Liverpool Walton,E14000794,Liverpool Walton,North West,4018,34538,756,814,,,,,660,"62,628",0.65,Labour
Liverpool Wavertree,E14000795,Liverpool Wavertree,North West,4225,31310,4055,1365,,,1921,,501,"63,458",0.68,Labour
