PCON18CD,FID,Total_Population,young_adults,white,christian,english_speaking,single_ethnicity_household,own_home,not_good_health,degree_educated,no_car,private_transport_to_work,professionals
E14000530,5172.066666666667,93437.13333333333,0.37925650563627433,0.8260919801072583,0.5869473835064423,0.9031942018623258,0.25027264907233304,0.26052766685657275,0.1405646894822434,0.2820689720283245,0.15480254234498683,0.7134297084608697,0.2633012440159164
E14000531,1007.0,269323.0,0.3259543373570026,0.7738626110655237,0.5902615075578393,0.9110361907449419,0.2587859187666854,0.25198739060533265,0.2270433642874912,0.17909608455918943,0.28791897757414997,0.7350939698940056,0.21685223122828898
E14000532,666.1111111111111,226578.0,0.32995701259610377,0.8266380672439515,0.6339494566992382,0.9318954179134779,0.2531401989601814,0.2913345514568934,0.17383858980130462,0.35300409952181877,0.21680919520765424,0.6879417916907098,0.3415771061742643
E14000533,2413.9333333333334,122309.0,0.30219362434489694,0.9681707805639816,0.6118437727395367,0.9622104669321149,0.2952521891275376,0.3204179577954198,0.21002542740109076,0.24080950612699592,0.19220092782721118,0.7776393122379214,0.25573836749128503
E14000534,4622.4375,133642.5625,0.2773741978550669,0.9264925998030749,0.643253380621774,0.9514251733883661,0.27157132855600064,0.3154214009706789,0.16756189310451344,0.316498937351827,0.1468198160139118,0.6883530472919576,0.3104822295223441
E14000535,6620.625,117411.58333333333,0.3225970647302272,0.9501314255965956,0.5783373046020349,0.9509047581534854,0.29080777108515415,0.30068980402113826,0.22647342609595653,0.1863471767804127,0.23259210096008895,0.7421802544930486,0.21771271908266154
E14000536,2688.529411764706,117956.0,0.3077842585370815,0.9007680830140048,0.6294974397232868,0.9357811387296956,0.27365288751737915,0.28250364542710854,0.1733103869239378,0.25899450648414996,0.1579509071504803,0.70107392346992,0.27944600841066264
E14000537,481.25,220717.25,0.33249293097574795,0.8598861748842056,0.6289876056832363,0.9202151444678204,0.26707479551272606,0.27329385495834313,0.2213517823170876,0.18695664311146837,0.3001117630869304,0.6994793928774135,0.21145341906823828
E14000538,5497.588235294118,173550.41176470587,0.3237161444494867,0.8391817321230866,0.6063677648039422,0.9317427900905934,0.2547795957413772,0.2866494502103539,0.1436920999223312,0.3396295695344781,0.13405337417800517,0.715824036216568,0.32750519854602317
E14000539,6927.5,141868.0,0.3393365663856543,0.8711971691995378,0.6383680604505598,0.9267347111399326,0.26305438858657343,0.280161840584205,0.15015366396932356,0.2969410315972124,0.15634254689042448,0.6930601772040249,0.28299188817169807
E14000540,8.090909090909092,185911.0,0.38452270172286745,0.5038916470784408,0.559950729112317,0.8367713583381295,0.20862132956091894,0.17874144079694052,0.19026308287298763,0.23105271204306443,0.3963490765057907,0.41934669024289717,0.2009917970671524
E14000541,709.125,231221.0,0.31875997422379454,0.9632818818359923,0.6845701731244135,0.951193879448666,0.29613227172272416,0.28220620099385435,0.24815220070841315,0.18166375218586062,0.26910477098099944,0.7650778632734435,0.21440639511870166
E14000542,713.0,231221.0,0.31875997422379454,0.9632818818359923,0.6845701731244135,0.951193879448666,0.29613227172272416,0.28220620099385435,0.24815220070841315,0.18166375218586062,0.26910477098099944,0.7650778632734435,0.21440639511870166
E14000543,3254.529411764706,77221.35294117648,0.29315796040789655,0.9705994299434306,0.7006080387775314,0.9627165454692062,0.28593975519643033,0.331919492075041,0.2273723282379663,0.23204830483663585,0.26496684919177554,0.650944181891415,0.2397728140993901
E14000544,2086.875,174497.0,0.330807979506811,0.9027547751537276,0.6026350023209569,0.9484346435755341,0.268732413737772,0.27904204656813586,0.18798030911706218,0.19478549490489389,0.21942099909273363,0.6385201069802183,0.23938028576247497
E14000545,2502.8125,167799.0,0.3424215877329423,0.8903628746297655,0.5988235925124704,0.9346301229447138,0.27283237683180467,0.2854248237474598,0.1421224202766405,0.3195991789279055,0.15227584216980453,0.7137990723685673,0.31436275271298897
E14000546,3543.318181818182,112863.0,0.29757316392440375,0.9484419163056095,0.7082480529491506,0.9496734979577007,0.29030771820702994,0.29493279462711447,0.22504275094583698,0.2126808144016686,0.20078880567268753,0.7734691559056306,0.23327148104669215
E14000547,1304.25,176016.0,0.33256067630215436,0.907792473411508,0.5651077174802291,0.9488455594945914,0.25737432960639944,0.2808608308335606,0.16069561858012907,0.3478168112644005,0.21979187920832477,0.6108204294232719,0.33391076857809515
E14000548,890.5,422458.0,0.33895440493492845,0.7729170710461158,0.5343750147943701,0.9045514583698261,0.2591949968991,0.27688669642899416,0.19495665841338075,0.25146682454804886,0.2643711280795275,0.7251880226822663,0.2622805968908039
E14000549,573.4285714285714,306995.0,0.5365527125848956,0.5583250541539765,0.5296177462173651,0.8731021677877491,0.18367400120523136,0.19969054870600497,0.126588380918256,0.5883019110739335,0.4532273761810978,0.17250898746794194,0.4334647388874578
E14000550,5050.764705882353,97683.76470588235,0.30159564348946255,0.7820104982993795,0.6077796212449954,0.9344409180342733,0.24125277732414777,0.2917908858217268,0.1426406612500289,0.37962126785425054,0.11243026333194887,0.7038207007725518,0.3796775528714585
E14000551,304.8333333333333,309392.0,0.33012489010704865,0.7884528365310027,0.60653151988416,0.9353118374101462,0.23774693592594512,0.303243134922687,0.15779334953715674,0.3484858749407222,0.23477403677156092,0.43606971090322927,0.34470958194598594
E14000552,4594.055555555556,157479.0,0.33408898964306366,0.7256269089846902,0.5927520494796129,0.8896932289384618,0.24135916534903062,0.27052495888340655,0.1711720292864446,0.30187087151076064,0.20587036920955312,0.6983643318823377,0.28967154728927574
E14000553,7375.916666666667,288283.0,0.4968832709525017,0.4188800588310792,0.5253934501861018,0.8592875750564547,0.16455011221612098,0.13106218542196382,0.1528879607885307,0.47480758400600725,0.5838800219229043,0.14391945070154968,0.3636524004667951
